İL KAYIT NO,İLÇE KAYIT NO,BELDE/ KÖY KAYIT NO,MAHALLE KAYIT NO,İL ADI,İLÇE ADI,BELEDİYE ADI,MAHALLE ADI,MEDENİ DURUM,TOPLAM,ERKEK,KADIN,yıl,BELDE/KÖY ADI
6,1130,2429,1469,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ATIFBEY,EŞİ ÖLDÜ,133.0,,,2022,
6,1130,2429,1471,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,GÜLTEPE,HİÇ EVLENMEDİ,5384.0,3144.0,2240.0,2022,
6,1130,2429,1471,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,GÜLTEPE,EVLİ,9566.0,4698.0,4868.0,2022,
6,1130,2429,1471,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,GÜLTEPE,BOŞANDI,1146.0,551.0,595.0,2022,
6,1130,2429,1471,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,GÜLTEPE,EŞİ ÖLDÜ,916.0,105.0,811.0,2022,
6,1130,2429,1472,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,HACETTEPE,HİÇ EVLENMEDİ,4233.0,2254.0,1979.0,2022,
6,1130,2429,1472,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,HACETTEPE,EVLİ,2555.0,1278.0,1277.0,2022,
6,1130,2429,1472,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,HACETTEPE,BOŞANDI,457.0,231.0,226.0,2022,
6,1130,2429,1472,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,HACETTEPE,EŞİ ÖLDÜ,294.0,44.0,250.0,2022,
6,1130,2429,1473,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,GÜNEŞEVLER,HİÇ EVLENMEDİ,7666.0,4253.0,3413.0,2022,
6,1130,2429,1473,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,GÜNEŞEVLER,EVLİ,18949.0,9321.0,9628.0,2022,
6,1130,2429,1473,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,GÜNEŞEVLER,BOŞANDI,1467.0,624.0,843.0,2022,
6,1130,2429,1473,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,GÜNEŞEVLER,EŞİ ÖLDÜ,1432.0,182.0,1250.0,2022,
