No,Yapı,Koordinat,Ada/Parsel,Adres,İşlev,Kat Sayısı,Tescil Bilgisi,Yapım Yılı,Mimarı,Değişmişlik Durumu,Foto,Açıklama,lat,lon,Mahalle,bölge
4_17_19,,"39.92670896766712, 32.87759017900906",2977-12-01 00:00:00,"Ertuğrulgazi, Şen Sk. No:6, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92670896766712,32.87759017900906,ERTUĞRULGAZİ,4
4_17_20,,"39.92658360910213, 32.877634763650484",2977-01-01 00:00:00,"Ertuğrulgazi, Erdem Cd. No:13, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92658360910213,32.877634763650484,ERTUĞRULGAZİ,4
4_17_21,,"39.926661771210426, 32.87727266544806",2977-02-01 00:00:00,"Ertuğrulgazi, Erdem Cd. No:11, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.926661771210426,32.87727266544806,ERTUĞRULGAZİ,4
4_17_22,,"39.926692624649675, 32.87699908013957",2977-03-01 00:00:00,"Ertuğrulgazi, Erdem Cd. No:9, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.926692624649675,32.87699908013957,ERTUĞRULGAZİ,4
4_17_23,,"39.92658360910213, 32.876991033512844",2977-04-01 00:00:00,"Ertuğrulgazi, Erdem Cd. No:7, 06590 Çankaya/Ankara",Konut + Ticaret,3.0,Değil,,,,,,39.92658360910213,32.876991033512844,ERTUĞRULGAZİ,4
4_17_24,,"39.92653835731446, 32.8766959905331",2977-05-01 00:00:00,"Ertuğrulgazi, Yeni Acun Sk. No:37, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92653835731446,32.8766959905331,ERTUĞRULGAZİ,4
4_17_25,,"39.926678526841684, 32.87651195147734",2977-06-01 00:00:00,"Fakülteler, Atom Sk. No:17, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.926678526841684,32.87651195147734,FAKÜLTELER,4
4_17_26,,"39.92672409697736, 32.87663361274185",2977/13,"Ertuğrulgazi, Atom Sk. No:15, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92672409697736,32.87663361274185,ERTUĞRULGAZİ,4
4_17_27,,"39.92677623832795, 32.87672333051686",2977/14,"Ertuğrulgazi, Atom Sk. No:13, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92677623832795,32.87672333051686,ERTUĞRULGAZİ,4
4_17_28,,"39.92690582246262, 32.87702910233222",2977-08-01 00:00:00,"Ertuğrulgazi, Atom Sk. No:11, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92690582246262,32.87702910233222,ERTUĞRULGAZİ,4
4_17_29,,"39.926963153814896, 32.87713160353066",2977-09-01 00:00:00,"Ertuğrulgazi, Atom Sk. No:9, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.926963153814896,32.87713160353066,ERTUĞRULGAZİ,4
4_10_1,,"39.92556090959379, 32.87162384772486",8127-12-01 00:00:00,"Çamlıtepe, Dede Efendi Cd. No: 70, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92556090959379,32.87162384772486,ÇAMLITEPE,4
4_10_2,,"39.925613681853335, 32.87169856796453",8127-08-01 00:00:00,"Çamlıtepe, Dede Efendi Cd. No:74, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı? Cephe yenileme?,39.925613681853335,32.87169856796453,ÇAMLITEPE,4
4_10_3,,"39.925694899248334, 32.87182300614984",8127-09-01 00:00:00,"Çamlıtepe, Dede Efendi Cd. No:76, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,Dönem yapısı?,39.925694899248334,32.87182300614984,ÇAMLITEPE,4
4_10_4,,"39.92572930596543, 32.87186600273712",8127-10-01 00:00:00,"Çamlıtepe, Dede Efendi Cd. No:78, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92572930596543,32.87186600273712,ÇAMLITEPE,4
