No,Yapı,Koordinat,Ada/Parsel,Adres,İşlev,Kat Sayısı,Tescil Bilgisi,Yapım Yılı,Mimarı,Değişmişlik Durumu,Foto,Açıklama,lat,lon,Mahalle,bölge
3_5_10,,"39.924513268024214, 32.86721806205575",1025/17,"Ön Cebeci, Boncuk Sk. No:18, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.924513268024214,32.86721806205575,ÖN CEBECİ,3
3_5_11,,"39.924287652743295, 32.867297699832235",1025/1,"Ön Cebeci, Boncuk Sk. No:20, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.924287652743295,32.867297699832235,ÖN CEBECİ,3
3_5_12,,"39.92425299578921, 32.86728038876774",1025/24,"Ön Cebeci, Samur Sk. No:10, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92425299578921,32.86728038876774,ÖN CEBECİ,3
3_5_13,,"39.924218027310985, 32.86715164273037",1025/25,"Ön Cebeci, Samur Sk. No:12, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,39.924218027310985,32.86715164273037,ÖN CEBECİ,3
3_5_14,,"39.92413073486592, 32.867005937676865",1025/3,"Ön Cebeci, Samur Sk. No:14, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Dönem yapısı?,39.92413073486592,32.867005937676865,ÖN CEBECİ,3
3_5_15,,"39.92397617196479, 32.866835802779875",1025/22,"Ön Cebeci, Samur Sk. No:18, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92397617196479,32.866835802779875,ÖN CEBECİ,3
3_5_16,,"39.923829580879925, 32.86666307097686",1025/23,"Ön Cebeci, Samur Sk. No:20, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.923829580879925,32.86666307097686,ÖN CEBECİ,3
3_5_17,,"39.924158697129485, 32.86666038876773",1025/5,"Ön Cebeci, Aydoğmuş Sk. No:19, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.924158697129485,32.86666038876773,ÖN CEBECİ,3
3_5_18,,"39.92423605155953, 32.86645596423153",1025/6,"Ön Cebeci, Aydoğmuş Sk. No:17, 06590 Çankaya/Ankara",Konut,7.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,39.92423605155953,32.86645596423153,ÖN CEBECİ,3
3_5_19,,"39.92510962320502, 32.86744713539507",1024/6,"Ön Cebeci, Cevher Sk. No:7, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.92510962320502,32.86744713539507,ÖN CEBECİ,3
3_5_20,,"39.92523921049429, 32.867637572242025",1024/7,"Ön Cebeci, Cevher Sk. No:5, 06590 Çankaya/Ankara",Konut + Ticaret,8.0,Değil,,,,,kat yüksekliği kontrol!,39.92523921049429,32.867637572242025,ÖN CEBECİ,3
3_5_21,,"39.92537661063789, 32.86778156482152",1024/8,"Ön Cebeci, Cevher Sk. No:3, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92537661063789,32.86778156482152,ÖN CEBECİ,3
3_5_22,,"39.92549447992952, 32.86791477097688",1024/12,"Ön Cebeci, Cevher Sk. No:1, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92549447992952,32.86791477097688,ÖN CEBECİ,3
3_5_23,,"39.92522707830627, 32.867971097360176",1024/9,"Ön Cebeci, Kıbrıs Cd. No:14, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92522707830627,32.867971097360176,ÖN CEBECİ,3
3_5_24,,"39.92502549793681, 32.86808643235199",1024/10,"Ön Cebeci, Kıbrıs Cd. No:16, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92502549793681,32.86808643235199,ÖN CEBECİ,3
3_5_25,,"39.9249288214266, 32.86806497467909",1024/13,"Ön Cebeci, Kıbrıs Cd. No:18, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.9249288214266,32.86806497467909,ÖN CEBECİ,3
3_5_26,,"39.92485940943709, 32.868181806558646",1024/14,"Ön Cebeci, Kıbrıs Cd. No: 20, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92485940943709,32.868181806558646,ÖN CEBECİ,3
3_5_27,,"39.92472366645804, 32.86798599306796",1024/2,"Ön Cebeci, Samur Sk. No:4, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92472366645804,32.86798599306796,ÖN CEBECİ,3
3_5_28,,"39.92462399612397, 32.86778275339246",1024/3,"Ön Cebeci, Samur Sk. No:6, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92462399612397,32.86778275339246,ÖN CEBECİ,3
3_5_29,,"39.924466805160684, 32.86755882025578",1024/11,"Ön Cebeci, Boncuk Sk. No:17, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.924466805160684,32.86755882025578,ÖN CEBECİ,3
3_5_30,,"39.92473215279079, 32.86761782885625",1024/4,"Ön Cebeci, Boncuk Sk. No:15, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92473215279079,32.86761782885625,ÖN CEBECİ,3
3_5_31,,"39.92497898687225, 32.86753468037377",1024/5,"Ön Cebeci, Boncuk Sk. No:13, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92497898687225,32.86753468037377,ÖN CEBECİ,3
3_6_1,,"39.92339116944444, 32.86668006457251",801/12,"Ön Cebeci, Aydoğmuş Sk. No:20, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92339116944444,32.86668006457251,ÖN CEBECİ,3
3_6_2,,"39.92319678317175, 32.86681953944634",801/13,"Ön Cebeci, Aydoğmuş Sk. No:22, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92319678317175,32.86681953944634,ÖN CEBECİ,3
3_6_3,,"39.92311450310172, 32.867077031521085",801/29,"Ön Cebeci, Aydoğmuş Sk. No:24, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92311450310172,32.867077031521085,ÖN CEBECİ,3
3_6_4,,"39.92303230936206, 32.86703022434953",801/28,"Ön Cebeci, Dede Efendi Cd. No:31, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92303230936206,32.86703022434953,ÖN CEBECİ,3
3_6_5,,"39.92294385807031, 32.866928300403295",801/27,"Ön Cebeci, Dede Efendi Cd. No:29, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,39.92294385807031,32.866928300403295,ÖN CEBECİ,3
3_6_6,,"39.92279302445782, 32.86677929306797",801/26,"Ön Cebeci, Dede Efendi Cd. No:27, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92279302445782,32.86677929306797,ÖN CEBECİ,3
3_6_7,,"39.92274982717868, 32.866543258666134",801/25,"Ön Cebeci, Dede Efendi Cd. No:25, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92274982717868,32.866543258666134,ÖN CEBECİ,3
3_6_8,,"39.92265520447193, 32.86638232611942",801/24,"Ön Cebeci, Dede Efendi Cd. No:23, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92265520447193,32.86638232611942,ÖN CEBECİ,3
3_6_9,,"39.92252355527109, 32.86621602915448",801/23,"Ön Cebeci, Dede Efendi Cd. No:21, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92252355527109,32.86621602915448,ÖN CEBECİ,3
3_6_10,,"39.92250915611853, 32.86599608802059",801/22,"Ön Cebeci, Dede Efendi Cd. No:19, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92250915611853,32.86599608802059,ÖN CEBECİ,3
3_6_11,,"39.92241864712711, 32.86587807081967",801/21,"Ön Cebeci, Dede Efendi Cd. No:17, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92241864712711,32.86587807081967,ÖN CEBECİ,3
3_6_12,,"39.92227045136399, 32.865687804380066",801/20,"Ön Cebeci, Dede Efendi Cd. No:15, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92227045136399,32.865687804380066,ÖN CEBECİ,3
3_6_13,,"39.92218759125006, 32.86547394206159",801/19,"Ön Cebeci, Dede Efendi Cd. No:13, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92218759125006,32.86547394206159,ÖN CEBECİ,3
3_6_14,,"39.9221176521685, 32.86533714938047",801/18,"Ön Cebeci, Dede Efendi Cd. No:11, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.9221176521685,32.86533714938047,ÖN CEBECİ,3
3_6_15,,"39.922049210787975, 32.86499174644068",801/38,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:29, 06590 Çankaya/Ankara",,0.0,Değil,,,,,Yıkılmış,39.922049210787975,32.86499174644068,ÖN CEBECİ,3
3_6_16,,"39.92214394467635, 32.86488644559512",801/37,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:27, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92214394467635,32.86488644559512,ÖN CEBECİ,3
3_6_17,,"39.92221803518737, 32.86481649341615",801/36,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:25, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92221803518737,32.86481649341615,ÖN CEBECİ,3
3_6_18,,"39.92236025279937, 32.864731364231545",801/35,"Ön Cebeci, Samur Sk. No:39, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92236025279937,32.864731364231545,ÖN CEBECİ,3
3_6_19,,"39.922432480851484, 32.864898944585484",801/15,"Ön Cebeci, Samur Sk. No:37, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.922432480851484,32.864898944585484,ÖN CEBECİ,3
3_6_20,,"39.922500362592544, 32.865172529914894",801/9,"Ön Cebeci, Samur Sk. No:35, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.922500362592544,32.865172529914894,ÖN CEBECİ,3
3_6_21,,"39.92259498551328, 32.865344191298064",801/8,"Ön Cebeci, Samur Sk. No:33, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92259498551328,32.865344191298064,ÖN CEBECİ,3
3_6_22,,"39.92272457756206, 32.86548098396277",801/7,"Ön Cebeci, Samur Sk. No:31, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92272457756206,32.86548098396277,ÖN CEBECİ,3
3_6_23,,"39.922827428223485, 32.8656767852125",801/6,"Ön Cebeci, Samur Sk. No:29, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.922827428223485,32.8656767852125,ÖN CEBECİ,3
3_6_24,,"39.922934392743706, 32.86586722205946",801/5,"Ön Cebeci, Samur Sk. No:27, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.922934392743706,32.86586722205946,ÖN CEBECİ,3
3_6_25,,"39.92300844500598, 32.86604693006995",801/4,"Ön Cebeci, Samur Sk. No:25, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92300844500598,32.86604693006995,ÖN CEBECİ,3
3_6_26,,"39.92311746625351, 32.86619981596857",801/3,"Ön Cebeci, Samur Sk. No:23, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92311746625351,32.86619981596857,ÖN CEBECİ,3
3_6_27,,"39.92328819728114, 32.86647876571622",801/2,"Ön Cebeci, Samur Sk. No:21, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,Dönem yapısı? Özgün balkon korkuluğu. ,39.92328819728114,32.86647876571622,ÖN CEBECİ,3
3_7_1,,"39.923585577050645, 32.86688202951562",1026/11,"Ön Cebeci, Aydoğmuş Sk. No:23, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.923585577050645,32.86688202951562,ÖN CEBECİ,3
3_7_2,,"39.92373779405517, 32.86712342833571",1026/10,"Ön Cebeci, Samur Sk. No:15, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92373779405517,32.86712342833571,ÖN CEBECİ,3
3_7_3,,"39.92379370741782, 32.86725923033031",1026/9,"Ön Cebeci, Samur Sk. No:13, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92379370741782,32.86725923033031,ÖN CEBECİ,3
3_7_4,,"39.9239419418645, 32.86739679738942",1026/8,"Ön Cebeci, Samur Sk. No:11, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.9239419418645,32.86739679738942,ÖN CEBECİ,3
3_7_5,,"39.92406642368762, 32.86750980929488",1026/7,"Ön Cebeci, Samur Sk. No:9, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92406642368762,32.86750980929488,ÖN CEBECİ,3
3_7_6,,"39.92409397169, 32.86774074132096",1026/6,"Ön Cebeci, Samur Sk. No:7, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92409397169,32.86774074132096,ÖN CEBECİ,3
3_7_7,,"39.924193169171794, 32.86796519301934",1026/5,"Ön Cebeci, Samur Sk. No:5, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.924193169171794,32.86796519301934,ÖN CEBECİ,3
3_7_8,,"39.924384263215465, 32.868062275941384",1026/4,"Ön Cebeci, Samur Sk. No:3, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,39.924384263215465,32.868062275941384,ÖN CEBECİ,3
3_7_9,Ziraat Bankası şubesi,"39.924518441419806, 32.86836069794887",1026/3,"Ön Cebeci, Kıbrıs Cd. No:22, 06590 Çankaya/Ankara",Konut+Ticaret+Banka,5.0,Değil,,,,,,39.924518441419806,32.86836069794887,ÖN CEBECİ,3
3_7_10,,"39.92450233846218, 32.868495574077365",1026/2,"Ön Cebeci, Kıbrıs Cd. No:24, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Çok değişmiş dönem yapısı,39.92450233846218,32.868495574077365,ÖN CEBECİ,3
3_7_11,,"39.92439743335596, 32.868614932382854",1026/1,"Ön Cebeci, Kıbrıs Cd. No:26, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92439743335596,32.868614932382854,ÖN CEBECİ,3
3_7_12,,"39.92425676273486, 32.86870039249936",1026/23,"Ön Cebeci, Kıbrıs Cd. No:28, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92425676273486,32.86870039249936,ÖN CEBECİ,3
3_7_13,,"39.92424027636499, 32.86881377930726",1026/22,"Ön Cebeci, Dede Efendi Cd. No:55, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,39.92424027636499,32.86881377930726,ÖN CEBECİ,3
3_7_14,,"39.92406457269021, 32.86862410902264",1026/21,"Ön Cebeci, Dede Efendi Cd. No:53, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,39.92406457269021,32.86862410902264,ÖN CEBECİ,3
3_7_15,,"39.92395214355982, 32.868438264231536",1026/20,"Ön Cebeci, Dede Efendi Cd. No:51, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92395214355982,32.868438264231536,ÖN CEBECİ,3
3_7_16,,"39.92379207339086, 32.86831288937901",1026/19,"Ön Cebeci, Dede Efendi Cd. No:49, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92379207339086,32.86831288937901,ÖN CEBECİ,3
3_7_17,,"39.92376167980158, 32.86814994677421",1026/18,"Ön Cebeci, Dede Efendi Cd. No:47, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92376167980158,32.86814994677421,ÖN CEBECİ,3
3_7_18,,"39.923666480973026, 32.868089864231564",1026/17,"Ön Cebeci, Dede Efendi Cd. No:45, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.923666480973026,32.868089864231564,ÖN CEBECİ,3
3_7_19,,"39.92355951759651, 32.867887357443614",1026/16,"Ön Cebeci, Dede Efendi Cd. No:43, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92355951759651,32.867887357443614,ÖN CEBECİ,3
3_7_20,,"39.9235060358456, 32.86772642489689",1026/15,"Ön Cebeci, Dede Efendi Cd. No:41, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Boşaltılmış. Kentsel dönüşüm?,39.9235060358456,32.86772642489689,ÖN CEBECİ,3
3_7_21,,"39.92341964215523, 32.86763925310867",1026/14,"Ön Cebeci, Dede Efendi Cd. No:39, 06590 Çankaya/Ankara",,0.0,Değil,,,,,Yıkılmış,39.92341964215523,32.86763925310867,ÖN CEBECİ,3
3_7_22,,"39.923285638059006, 32.867536422307374",1026/13,"Ön Cebeci, Dede Efendi Cd. No:37, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.923285638059006,32.867536422307374,ÖN CEBECİ,3
3_7_23,,"39.92320776624246, 32.86742573541399",1026/12,"Ön Cebeci, Dede Efendi Cd. No:35, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92320776624246,32.86742573541399,ÖN CEBECİ,3
3_11_1,,"39.92256377414975, 32.86391940288037",8130/18,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:6, 06590 Çankaya/Ankara",Ticaret,7.0,Değil,,,,,,39.92256377414975,32.86391940288037,ÖN CEBECİ,3
3_11_2,,"39.922355712201394, 32.864078209281345",8130-02-01 00:00:00,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:8, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.922355712201394,32.864078209281345,ÖN CEBECİ,3
3_11_3,,"39.922266370910855, 32.86434462190445",8130-03-01 00:00:00,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:10, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.922266370910855,32.86434462190445,ÖN CEBECİ,3
3_11_4,,"39.922114484154314, 32.86446900655864",8130-04-01 00:00:00,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:12, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.922114484154314,32.86446900655864,ÖN CEBECİ,3
3_11_5,,"39.92197114044535, 32.864489475277054",8130-05-01 00:00:00,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:14, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92197114044535,32.864489475277054,ÖN CEBECİ,3
3_11_6,,"39.92181674047317, 32.864791153185976",8130-06-01 00:00:00,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:16, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92181674047317,32.864791153185976,ÖN CEBECİ,3
3_11_7,,"39.92175708622994, 32.86476701330396",8130/17,"Ön Cebeci, Dede Efendi Cd. No:5, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92175708622994,32.86476701330396,ÖN CEBECİ,3
3_11_8,,"39.92174209753125, 32.864601995513084",8130/17,"Ön Cebeci, Dede Efendi Cd. No:3, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92174209753125,32.864601995513084,ÖN CEBECİ,3
3_11_9,,"39.92158394051514, 32.86432230841377",8130-09-01 00:00:00,"Ön Cebeci, Dede Efendi Cd. No:1, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,39.92158394051514,32.86432230841377,ÖN CEBECİ,3
3_11_10,,"39.92176496058511, 32.86421502004928",8130-10-01 00:00:00,"Ön Cebeci, İncesu Cd. No:13, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92176496058511,32.86421502004928,ÖN CEBECİ,3
3_11_11,,"39.92186369860336, 32.864107731684804",8130-11-01 00:00:00,"Ön Cebeci, İncesu Cd. No:11, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,Boşaltılmış,39.92186369860336,32.864107731684804,ÖN CEBECİ,3
3_11_12,,"39.92198712092597, 32.864008489947665",8130-12-01 00:00:00,"Ön Cebeci, İncesu Cd. No:9, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92198712092597,32.864008489947665,ÖN CEBECİ,3
3_11_13,,"39.92212905632193, 32.863973621229206",8130/13,"Ön Cebeci, İncesu Cd. No:7, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92212905632193,32.863973621229206,ÖN CEBECİ,3
3_11_14,,"39.92225864926122, 32.86385828623838",8130/14,"Ön Cebeci, İncesu Cd. No:5, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92225864926122,32.86385828623838,ÖN CEBECİ,3
3_11_15,,"39.92139415404721, 32.864530648885776",8131/30,"İncesu, İncesu Cd. No:17, 06590 Çankaya/Ankara",,0.0,Değil,,,,,Yıkılmış,39.92139415404721,32.864530648885776,İNCESU,3
3_11_16,,"39.92122341829677, 32.86467012375961",8131/22,"İncesu, İncesu Cd. No:19, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,39.92122341829677,32.86467012375961,İNCESU,3
3_11_17,,"39.92107435473643, 32.86475617527711",8131/21,"İncesu, İncesu Cd. No:21, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92107435473643,32.86475617527711,İNCESU,3
3_11_18,,"39.92095710197225, 32.86489833236004",8131/20,"İncesu, İncesu Cd. No:23, 06590 Çankaya/Ankara",Konut + Ticaret,3.0,Değil,,,,,,39.92095710197225,32.86489833236004,İNCESU,3
3_11_19,,"39.9208501343631, 32.86494392991495",8131/19,"İncesu, İncesu Cd. No:25, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.9208501343631,32.86494392991495,İNCESU,3
3_11_20,,"39.92072465291632, 32.865010985142746",8131/18,"İncesu, İncesu Cd. No:27, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92072465291632,32.865010985142746,İNCESU,3
3_11_21,,"39.92059094292129, 32.86513436675073",8131/17,"İncesu, İncesu Cd. No:29, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92059094292129,32.86513436675073,İNCESU,3
3_11_22,,"39.92049607772323, 32.86535522586985",8131/16,"İncesu, İncesu Cd. No:31, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,39.92049607772323,32.86535522586985,İNCESU,3
3_11_23,,"39.92040043131926, 32.86547656184422",8131/15,"İncesu, İncesu Cd. No:33, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,39.92040043131926,32.86547656184422,İNCESU,3
3_11_24,,"39.920291333117724, 32.865685536591734",8131/24,"İncesu, İncesu Cd. No:35, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.920291333117724,32.865685536591734,İNCESU,3
3_11_25,,"39.9202172779169, 32.86582501146556",8131/23,"İncesu, İncesu Cd. No:37, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.9202172779169,32.86582501146556,İNCESU,3
3_11_26,,"39.92039727305752, 32.865892066693355",8131/13,"İncesu, Kazan Sokaġı No:3, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92039727305752,32.865892066693355,İNCESU,3
3_11_27,,"39.92050012721331, 32.86609725568292",8131-12-01 00:00:00,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:36, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92050012721331,32.86609725568292,ÖN CEBECİ,3
3_11_28,,"39.920593724360096, 32.86593632313717",8131-11-01 00:00:00,"İncesu, Mahmut Esat Bozkurt Cd. No:34, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.920593724360096,32.86593632313717,İNCESU,3
3_11_29,,"39.92068834991565, 32.86579953047246",8131-10-01 00:00:00,"İncesu, Mahmut Esat Bozkurt Cd. No:32, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92068834991565,32.86579953047246,İNCESU,3
3_11_30,,"39.92080051187523, 32.865643597387134",8131-09-01 00:00:00,"İncesu, Mahmut Esat Bozkurt Cd. No:30, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92080051187523,32.865643597387134,İNCESU,3
3_11_31,,"39.920923587791464, 32.865498121314445",8131-08-01 00:00:00,"İncesu, Mahmut Esat Bozkurt Cd. No:28, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,39.920923587791464,32.865498121314445,İNCESU,3
3_11_32,,"39.92105729713334, 32.865353282022404",8131-07-01 00:00:00,"İncesu, Mahmut Esat Bozkurt Cd. No:26, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92105729713334,32.865353282022404,İNCESU,3
3_11_33,,"39.921172492664674, 32.86528086237638",8131-06-01 00:00:00,"İncesu, Mahmut Esat Bozkurt Cd. No:24, 06590 Çankaya/Ankara",Otel,4.0,Değil,,,,,,39.921172492664674,32.86528086237638,İNCESU,3
3_11_34,,"39.921304144468095, 32.8651869850565",8131-05-01 00:00:00,"İncesu, Mahmut Esat Bozkurt Cd. No:22, 06590 Çankaya/Ankara",Konut + Ticaret,3.0,Değil,,,,,,39.921304144468095,32.8651869850565,İNCESU,3
3_11_35,,"39.921443390593936, 32.86506241248908",8131-04-01 00:00:00,"İncesu, Mahmut Esat Bozkurt Cd. No:20, 06590 Çankaya/Ankara",Konut + Ticaret,3.0,Değil,,,,,,39.921443390593936,32.86506241248908,İNCESU,3
3_11_36,,"39.92161576830589, 32.86504072662585",8131-03-01 00:00:00,"İncesu, Mahmut Esat Bozkurt Cd. No:18, 06590 Çankaya/Ankara",,0.0,Değil,,,,,Yıkılmış,39.92161576830589,32.86504072662585,İNCESU,3
3_11_37,,"39.921589168058915, 32.86487379981332",8131-02-01 00:00:00,"İncesu, Dede Efendi Cd. No:8, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.921589168058915,32.86487379981332,İNCESU,3
3_11_38,,"39.9215007148956, 32.86368289900122",5331/33,"Seyranbağları, İncesu Cd. No:2, 06660 Çankaya/Ankara",Konut + Ticaret,7.0,Değil,,,,,,39.9215007148956,32.86368289900122,SEYRANBAĞLARI,3
3_11_39,,"39.92132538654597, 32.863808426794634",5331-02-01 00:00:00,"Seyranbağları, İncesu Cd. No:4, 06660 Çankaya/Ankara",Konut + Ticaret,3.0,Değil,,,,,,39.92132538654597,32.863808426794634,SEYRANBAĞLARI,3
3_11_40,,"39.92092425930754, 32.864178571652076",5331/36,"Seyranbağları, İncesu Cd. No:6, 06500 Çankaya/Ankara",Konut + Ticaret,10.0,Değil,,,,,Boş arazi. Otopark olarak kullanılıyor.,39.92092425930754,32.864178571652076,SEYRANBAĞLARI,3
3_11_41,,"39.92039584990451, 32.8644989875215",5331-09-01 00:00:00,"Seyranbağları, İncesu Cd. No:8, 06500 Çankaya/Ankara",,,,,,,,,39.92039584990451,32.8644989875215,SEYRANBAĞLARI,3
3_11_42,,"39.92031778212505, 32.864607278312164",5331/30,"Seyranbağları, İncesu Cd. No:10, 06660 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,Ofis binası,39.92031778212505,32.864607278312164,SEYRANBAĞLARI,3
3_11_43,,"39.92022305457499, 32.864694788786665",5331/31,"Seyranbağları, İncesu Cd. No:12, 06660 Çankaya/Ankara",Ticaret,4.0,Değil,,,,,,39.92022305457499,32.864694788786665,SEYRANBAĞLARI,3
